Application number,Applicant,Year of application,Patent system
DE19859107A1,ROCHE DIAGNOSTICS,2000,EPO
EP0130166A1,KABIGEN AB,1985,EPO
EP0155655A2,ASTELLAS PHARMA INC,1985,EPO
EP0158892A2,ASTELLAS PHARMA INC,1985,EPO
EP0297262A2,PROGEN BIOTECHNIK GMBH,1989,EPO
EP0313156A1,AKZO N.V,1989,EPO
EP0333134A2,BEHRINGWERKE AKTIENGESELLSCHAFT,1989,EPO
EP0369637A2,ADVANCED TECHNOLOGIES (CAMBRIDGE) LTD.; AGRICULTURAL GENETICS COMPANY LIMITED; BIOTAL LIMITED; BP NUTRITION LTD; CIBA-GEIGY PLC; IMPERIAL CHEMICAL INDUSTRIES PLC; RHONE-POULENC LTD; SCHERING AGROCHEMICALS LIMITED; SHELL RESEARCH LIMITED; TWYFORD SEEDS LTD; UNILEVER,1990,EPO
EP0377349A1,KANEKA CORP,1990,EPO
EP0686397A2,BOEHRINGER GROUP,1995,EPO
EP0713922A1,BIO MERIEUX (FR),1996,EPO
EP0725136A1,PASTEUR INSTITUT (FR),1996,EPO
EP0848059A1,VETIGEN (FR),1998,EPO
EP0939122A1,UTRECHT UNIVERSITY,1999,EPO
EP1088891A1,ROCHE DIAGNOSTICS,2001,EPO
EP1094069A1,AKZO NOBEL N.V. (NL),2001,EPO
EP1178109A1,RIKEN,2002,EPO
EP1201758A1,AJINOMOTO,2002,EPO
EP1209167A1,OKAZAKI NATIONAL RESEARCH INSTITUTES,2002,EPO
EP1312613A2,SEIKAGAKU CORPORATION,2003,EPO
EP1325929A2,CHRISTIAN PETZELT,2003,EPO
EP1342786A2,AIST,2003,EPO
EP1350841A2,ROCHE DIAGNOSTICS,2003,EPO
EP1361275A1,THERMO FISHER SCIENTIFIC,2003,EPO
EP1418185A1,SANOFI,2004,EPO
EP1452205A1,AMGEN,2004,EPO
EP1454986A1,CNRS,2004,EPO
EP1469066A2,BASF,2004,EPO
EP1486215A2,NOVARTIS,2004,EPO
EP1488802A2,BASF,2004,EPO
EP1508574A2,UNIVERSITY OF CALIFORNIA,2005,EPO
EP1514938A1,AIST,2005,EPO
EP1550721A2,BASF,2005,EPO
EP1555323A2,MEMORIAL SLOAN-KETTERING CANCER CENTER (US),2005,EPO
EP1572938A2,MARICAL,2005,EPO
EP1574567A1,PURATOS,2005,EPO
EP1592392A2,DU PONT,2005,EPO
EP1687402A2,TAKEDA CHEMICAL INDUSTRIES LTD,2006,EPO
EP1692317A2,UNIV ROCHESTER [US],2006,EPO
EP1707574A1,SEIKAGAKU CORPORATION,2006,EPO
EP1707628A1,SEKISUI CHEMICAL,2006,EPO
EP1714970A1,SAARLAND UNIVERSITY,2006,EPO
EP1716227A2,COMPUGEN LTD. (IL),2006,EPO
EP1734117A1,NEC CORPORATION,2006,EPO
EP1748074A2,DU PONT,2007,EPO
EP1752532A1,HELMHOLTZ ZENTRUM MUNCHEN DEUTSCHES FORSCHUNGSZENTRUM FUR GESUNDHEIT UND UMWELT (GMBH) (DE),2007,EPO
EP1756280A1,CSIRO,2007,EPO
EP1762622A2,DU PONT,2007,EPO
EP1784729A2,YEDA,2007,EPO
EP1785434A1,LUDWIG-MAXIMILIANS-UNIVERSITAT,2007,EPO
EP1787995A1,TECHNICAL UNIVERSITY OF MUNICH,2007,EPO
EP1790661A2,AIST,2007,EPO
EP1790731A2,BASF,2007,EPO
EP1826272A2,TAKARA HOLDINGS,2007,EPO
EP1829890A1,AIST,2007,EPO
EP1852440A,UNIVERSITY OF UTAH,2007,EPO
EP1859810A,APIT LABORATORIES,2007,EPO
EP1862554A,DU PONT,2007,EPO
EP1869173A2,BASF,2007,EPO
EP1873249A,DU PONT,2008,EPO
EP1911837A2,BIORIGINAL FOOD & SCIENCE CORP. (CA),2008,EPO
EP1918367A2,THE UNIVERSITY OF YORK,2008,EPO
EP1921157A2,DAIKIN INDUSTRIES,2008,EPO
EP1925320A2,BRUCE J BRYAN,2008,EPO
EP1932854A1,INSERM,2008,EPO
EP1935984A1,UNILEVER,2008,EPO
EP1945022A2,ALELLYX SA [BR],2008,EPO
EP1950288A1,BASF,2008,EPO
EP1961765A1,HENKEL,2008,EPO
EP1975253A1,INSTITUT PASTEUR,2008,EPO
EP1990412A2,TAKARA HOLDINGS,2008,EPO
EP1997885A1,AXXAM SPA,2008,EPO
EP2009107A2,TAKARA HOLDINGS,2008,EPO
EP2017334A2,KNC LABORATORIES CO,2009,EPO
EP2020418A1,HELMHOLTZ ZENTRUM MUNCHEN DEUTSCHES FORSCHUNGSZENTRUM FUR GESUNDHEIT UND UMWELT (GMBH) (DE),2009,EPO
EP2021362A1,INNOVENTUS PROJECT AB [SE],2009,EPO
EP2021367A2,"ROSENFELD HANNA [IL], ZEMACH SHALOM [IL]",2009,EPO
EP2045264A2,INFM,2009,EPO
EP2052083A2,SCRIPPS RESEARCH INSTITUTE,2009,EPO
