Species name,Domain,Phylum,Taxonomic source,Is Deep-sea,Deep-sea source,Is marine sequence
Acanthastrea echinata,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Acanthopagrus schlegelii,Eukaryota,Chordata,WoRMS,0.0,0,1
Acanthus ebracteatus,Eukaryota,Tracheophyta,WoRMS,0.0,0,1
Acaryochloris,Bacteria,Cyanobacteria,Wikipedia,0.0,0,1
Acaryochloris marina,Bacteria,Cyanobacteria,Wikipedia,0.0,0,1
Acaryochloris marina mbic11017,Bacteria,Cyanobacteria,Wikipedia,0.0,0,1
Acetabularia acetabulum,Eukaryota,Chlorophyta,NCBI,0.0,0,1
Acetabularia peniculus,Eukaryota,Chlorophyta,NCBI,0.0,,1
Acropora,Eukaryota,Cnidaria,NCBI,0.0,0,1
Acropora aculeus,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Acropora aspera,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Acropora digitifera,Eukaryota,Cnidaria,WoRMS,0.0,,1
Acropora formosa,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Acropora hyacinthus,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Acropora millepora,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Acropora robusta,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Actinia equina,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Actinia tenebrosa,Eukaryota,Cnidaria,WoRMS,0.0,,1
Aegiceras corniculatum,Eukaryota,Tracheophyta,WoRMS,0.0,0,1
Aequorea,Eukaryota,Cnidaria,NCBI,0.0,0,1
Aequorea coerulescens,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Aequorea macrodactyla,Eukaryota,Cnidaria,WoRMS,1.0,WoRDSS,1
Aequorea victoria,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Aequorivita antarctica,Bacteria,Bacteroidetes,WoRMS,0.0,,1
Aeromicrobium marinum dsm 15272,Bacteria,Actynomycetota,NCBI,0.0,,1
Aeromonas molluscorum 848,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Aeromonas salmonicida,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Aeromonas salmonicida subsp. salmonicida,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Aeromonas salmonicida subsp. salmonicida a449,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Aeropyrum camini sy1 = jcm 12091,Archaea,Thermoproteota,NCBI,1.0,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2675903482,1
Aeropyrum pernix,Archaea,Crenarchaeota,WoRMS,1.0,2018,1
Aeropyrum pernix k1,Archaea,Thermoproteota,Wikipedia,1.0,2018,1
Agaricia fragilis,Eukaryota,Cnidaria,WoRMS,0.0,0,1
Agarivorans albus,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Agarophyton vermiculophyllum,Eukaryota,Rhodophyta,NCBI,0.0,0,1
Alcanivorax,Bacteria,Pseudomonadota,Wikipedia,1.0,https://doi.org/10.1099/ijs.0.049957-0,1
Alcanivorax borkumensis,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Alcanivorax borkumensis sk2,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Alcanivorax hongdengensis,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Alcanivorax jadensis,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Alcanivorax nanhaiticus,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax pacificus,Bacteria,Pseudomonadota,Wikipedia,1.0,2018,1
Alcanivorax sp,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. dg881,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. k,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. k2-1,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. k3-3,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. nbrc 101096,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. nbrc 102022,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. nbrc 102027,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. st-ta,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. vbw004,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alcanivorax sp. z,Bacteria,Pseudomonadota,Wikipedia,0.0,,1
Alexandrium,Eukaryota,Myzozoa,WoRMS,0.0,0,1
Alexandrium catenella,Eukaryota,Myzozoa,WoRMS,0.0,0,1
Alexandrium fundyense,Eukaryota,Dinoflagellata,Wikipedia,0.0,0,1
Alexandrium minutum,Eukaryota,Myzozoa,WoRMS,0.0,0,1
Alexandrium ostenfeldii,Eukaryota,Myzozoa,WoRMS,0.0,0,1
Alexandrium pacificum,Eukaryota,Myzozoa,Wikipedia,0.0,,1
Alexandrium tamarense,Eukaryota,Myzozoa,WoRMS,0.0,0,1
Algibacter aquaticus,Bacteria,Bacteroidota,NCBI,0.0,,1
